"","X","Y"
"1",294,75.677
"2",295,76.923
"3",296,77.606
"4",297,79.158
"5",298,82.031
"6",299,85.783
"7",300,90.188
"8",301,97.196
"9",302,106.008
"10",303,116.442
"11",304,127.356
"12",305,140.025
"13",306,153.6
"14",307,166.019
"15",308,179.844
"16",309,193.587
"17",310,204.858
"18",311,214.692
"19",312,222.979
"20",313,227.435
"21",314,227.24
"22",315,224.8
"23",316,219.087
"24",317,211.102
"25",318,200.325
"26",319,185.663
"27",320,169.985
"28",321,153.2
"29",322,135.54
"30",323,118.058
"31",324,101.81
"32",325,88.531
"33",326,78.6
"34",327,73.3
"35",328,70.535
